       100
         0         0    0        5.00000       -4.73447        3.50916       19.05079        0.00000    0        0.00000
         1         1    2        5.00000       22.87492       23.17076      -10.81879        0.00000    0        0.00000
         2         2    1        5.00000        8.32666      -24.05285      -40.47770        0.00000    0        0.00000
         3         3    0        5.00000       43.81793      -27.09204      -16.23012        0.00000    0        0.00000
         4         4    1        5.00000       16.76588       -3.74826       20.15108        0.00000    0        0.00000
         5         5    2        5.00000      -35.19369       -4.69483       -9.40666        0.00000    0        0.00000
         6         6    0        5.00000      -17.16311        0.63650      -37.24223        0.00000    0        0.00000
         7         7    1        5.00000        2.99673       21.35358      -30.40181        0.00000    0        0.00000
         8         8    2        5.00000       30.53202       35.08184       -7.34959        0.00000    0        0.00000
         9         9    2        5.00000      -37.99242      -38.47240       19.24041        0.00000    0        0.00000
        10        10    0        5.00000       -9.02240      -41.12640       44.32935        0.00000    0        0.00000
        11        11    1        5.00000       20.88622       -6.59953        8.44305        0.00000    0        0.00000
        12        12    0        5.00000       -8.65910       15.31236       -5.01707        0.00000    0        0.00000
        13        13    1        5.00000       -4.37321       39.20548       13.42664        0.00000    0        0.00000
        14        14    2        5.00000      -41.44047       -4.45496       24.55276        0.00000    0        0.00000
        15        15    2        5.00000      -37.11601       17.80103       28.98013        0.00000    0        0.00000
        16        16    0        5.00000      -31.95911      -42.27085      -15.66425        0.00000    0        0.00000
        17        17    1        5.00000       10.37920       -3.36078        3.00338        0.00000    0        0.00000
        18        18    0        5.00000      -14.10736        8.86126        5.94884        0.00000    0        0.00000
        19        19    2        5.00000       34.10797        0.45786      -16.41331        0.00000    0        0.00000
        20        20    1        5.00000        4.16472      -19.52209        5.72559        0.00000    0        0.00000
        21        21    1        5.00000      -39.82887        3.33242      -28.15874        0.00000    0        0.00000
        22        22    0        5.00000       40.18061       25.79325        5.55125        0.00000    0        0.00000
        23        23    2        5.00000       13.23080      -11.45113       31.60805        0.00000    0        0.00000
        24        24    2        5.00000       27.57721        3.64150      -24.28242        0.00000    0        0.00000
        25        25    0        5.00000      -11.61612       35.79532       25.61872        0.00000    0        0.00000
        26        26    1        5.00000      -19.68306       27.16281       14.38020        0.00000    0        0.00000
        27        27    1        5.00000       -8.50249       39.89600       -5.79696        0.00000    0        0.00000
        28        28    2        5.00000       22.72041      -16.93245       14.50216        0.00000    0        0.00000
        29        29    0        5.00000       19.97552      -38.34483       23.80281        0.00000    0        0.00000
        30        30    2        5.00000      -25.25794      -19.27293      -38.60753        0.00000    0        0.00000
        31        31    0        5.00000      -13.99249        2.40107      -12.94200        0.00000    0        0.00000
        32        32    1        5.00000       -7.32131      -30.07136       30.22520        0.00000    0        0.00000
        33        33    0        5.00000       12.33519       41.83698       13.74645        0.00000    0        0.00000
        34        34    2        5.00000      -13.89242      -19.25774       23.10526        0.00000    0        0.00000
        35        35    1        5.00000      -15.09412      -41.32953      -29.00802        0.00000    0        0.00000
        36        36    1        5.00000      -15.96724       24.22931       38.56417        0.00000    0        0.00000
        37        37    2        5.00000      -33.87409       36.30597      -20.93609        0.00000    0        0.00000
        38        38    0        5.00000        6.02101      -10.38517       41.85639        0.00000    0        0.00000
        39        39    2        5.00000       38.68966      -30.86970      -24.30844        0.00000    0        0.00000
        40        40    0        5.00000      -41.73457      -22.38378      -26.88189        0.00000    0        0.00000
        41        41    1        5.00000      -41.59525        7.75518       27.67149        0.00000    0        0.00000
        42        42    0        5.00000       36.94864       32.86617       43.38094        0.00000    0        0.00000
        43        43    1        5.00000        6.32509      -36.40488      -11.17379        0.00000    0        0.00000
        44        44    2        5.00000       21.62163      -40.83916       38.80844        0.00000    0        0.00000
        45        45    2        5.00000        3.98271       -9.41603       21.63034        0.00000    0        0.00000
        46        46    0        5.00000        7.42981      -37.15746       40.99424        0.00000    0        0.00000
        47        47    1        5.00000      -16.43495      -25.29602       -3.28456        0.00000    0        0.00000
        48        48    1        5.00000      -23.97892        2.59588      -44.96197        0.00000    0        0.00000
        49        49    2        5.00000       -0.88324       17.74297      -16.79261        0.00000    0        0.00000
        50        50    0        5.00000      -19.49759       11.82157       21.42566        0.00000    0        0.00000
        51        51    2        5.00000       28.46087       20.66974       32.17783        0.00000    0        0.00000
        52        52    0        5.00000       36.51291       27.46706      -34.56182        0.00000    0        0.00000
        53        53    1        5.00000       16.16224      -36.92269       11.64253        0.00000    0        0.00000
        54        54    1        5.00000       25.29649       -6.50221      -37.14269        0.00000    0        0.00000
        55        55    0        5.00000        4.45458      -10.62477      -29.51473        0.00000    0        0.00000
        56        56    2        5.00000        2.87783       32.56205       17.07102        0.00000    0        0.00000
        57        57    2        5.00000      -13.19342      -10.49068      -11.32621        0.00000    0        0.00000
        58        58    0        5.00000      -13.82763       -6.04275        1.93930        0.00000    0        0.00000
        59        59    1        5.00000      -41.09011      -29.78613       35.52038        0.00000    0        0.00000
        60        60    0        5.00000       -1.27459       34.41407       44.16767        0.00000    0        0.00000
        61        61    2        5.00000      -43.90114      -38.66425      -11.21705        0.00000    0        0.00000
        62        62    1        5.00000       42.15679       42.89497       29.31138        0.00000    0        0.00000
        63        63    1        5.00000        1.35648      -41.74251       28.34225        0.00000    0        0.00000
